Training | Average loss 15.6832 kld 89.6730 kld1 58.5106 kld2 17.1293 kld3 14.0331 elem_type_num 0.9991 elem_type 0.1788 elem_num 0.5890 lattice 0.0939 coord 0.6894 elem_type_num_acc 0.7042, elem_type_acc 0.9599 elem_type_recall 0.4907 elem_num_acc 0.9076 elem_type_match 0.0000 elem_num_match 0.6661 comp_match 0.0000
Training | Average loss 9.1354 kld 61.6888 kld1 41.0776 kld2 4.2236 kld3 16.3876 elem_type_num 0.4052 elem_type 0.0921 elem_num 0.1823 lattice 0.0173 coord 0.4995 elem_type_num_acc 0.9683, elem_type_acc 0.9631 elem_type_recall 0.5209 elem_num_acc 0.9818 elem_type_match 0.0019 elem_num_match 0.9322 comp_match 0.0018
Training | Average loss 8.0913 kld 55.7511 kld1 36.8163 kld2 3.3188 kld3 15.6160 elem_type_num 0.1573 elem_type 0.0850 elem_num 0.0974 lattice 0.0153 coord 0.4575 elem_type_num_acc 0.9745, elem_type_acc 0.9706 elem_type_recall 0.6200 elem_num_acc 0.9854 elem_type_match 0.0389 elem_num_match 0.9473 comp_match 0.0374
Training | Average loss 7.3666 kld 64.7756 kld1 45.1405 kld2 4.3160 kld3 15.3190 elem_type_num 0.1373 elem_type 0.0690 elem_num 0.0835 lattice 0.0139 coord 0.4288 elem_type_num_acc 0.9739, elem_type_acc 0.9838 elem_type_recall 0.7915 elem_num_acc 0.9873 elem_type_match 0.2644 elem_num_match 0.9543 comp_match 0.2563
Training | Average loss 6.6323 kld 78.5529 kld1 58.8395 kld2 4.6911 kld3 15.0224 elem_type_num 0.1299 elem_type 0.0449 elem_num 0.0799 lattice 0.0124 coord 0.4165 elem_type_num_acc 0.9773, elem_type_acc 0.9917 elem_type_recall 0.8950 elem_num_acc 0.9873 elem_type_match 0.5918 elem_num_match 0.9552 comp_match 0.5774
Training | Average loss 5.9844 kld 80.2141 kld1 61.7966 kld2 3.9978 kld3 14.4197 elem_type_num 0.1223 elem_type 0.0293 elem_num 0.0718 lattice 0.0108 coord 0.4002 elem_type_num_acc 0.9608, elem_type_acc 0.9950 elem_type_recall 0.9388 elem_num_acc 0.9868 elem_type_match 0.7409 elem_num_match 0.9524 comp_match 0.7268
Training | Average loss 5.6592 kld 78.2734 kld1 61.4601 kld2 3.3879 kld3 13.4253 elem_type_num 0.1223 elem_type 0.0215 elem_num 0.0659 lattice 0.0087 coord 0.3956 elem_type_num_acc 0.9780, elem_type_acc 0.9968 elem_type_recall 0.9601 elem_num_acc 0.9912 elem_type_match 0.8318 elem_num_match 0.9672 comp_match 0.8211
Training | Average loss 5.3680 kld 73.3088 kld1 58.4469 kld2 2.9101 kld3 11.9518 elem_type_num 0.1107 elem_type 0.0168 elem_num 0.0596 lattice 0.0066 coord 0.3894 elem_type_num_acc 0.9789, elem_type_acc 0.9974 elem_type_recall 0.9685 elem_num_acc 0.9916 elem_type_match 0.8630 elem_num_match 0.9694 comp_match 0.8526
Training | Average loss 5.1511 kld 69.5978 kld1 56.9013 kld2 2.5019 kld3 10.1945 elem_type_num 0.1073 elem_type 0.0140 elem_num 0.0574 lattice 0.0051 coord 0.3818 elem_type_num_acc 0.9779, elem_type_acc 0.9978 elem_type_recall 0.9732 elem_num_acc 0.9887 elem_type_match 0.8791 elem_num_match 0.9588 comp_match 0.8610
Training | Average loss 5.0291 kld 65.7072 kld1 54.7284 kld2 2.1961 kld3 8.7827 elem_type_num 0.1080 elem_type 0.0124 elem_num 0.0547 lattice 0.0041 coord 0.3798 elem_type_num_acc 0.9799, elem_type_acc 0.9982 elem_type_recall 0.9787 elem_num_acc 0.9919 elem_type_match 0.9015 elem_num_match 0.9700 comp_match 0.8906
Training | Average loss 4.9086 kld 62.7875 kld1 52.7830 kld2 1.9775 kld3 8.0271 elem_type_num 0.1027 elem_type 0.0107 elem_num 0.0539 lattice 0.0034 coord 0.3769 elem_type_num_acc 0.9786, elem_type_acc 0.9984 elem_type_recall 0.9810 elem_num_acc 0.9909 elem_type_match 0.9098 elem_num_match 0.9660 comp_match 0.8964
